time,obstacle_id,x,y,z,radius
12.0,diagonal_crossing_ball,22.5183,-12.8619,-3.0,0.5
12.0,inner_patrol_ball,26.3389,2.7973,-3.0,0.45
12.0,target_patrol_ball,31.2122,17.0075,-3.0,0.45
12.25,fast_crossing_ball_1,10.0,-2.9,-3.0,0.55
12.25,fast_crossing_ball_2,16.0,11.875,-3.0,0.55
12.25,diagonal_crossing_ball,22.5831,-12.5947,-3.0,0.5
12.25,inner_patrol_ball,26.565,3.186,-3.0,0.45
12.25,target_patrol_ball,30.8375,17.0044,-3.0,0.45
12.5,fast_crossing_ball_1,10.0,-2.6,-3.0,0.55
12.5,fast_crossing_ball_2,16.0,11.55,-3.0,0.55
12.5,diagonal_crossing_ball,22.6479,-12.3274,-3.0,0.5
12.5,inner_patrol_ball,26.7461,3.5977,-3.0,0.45
12.5,target_patrol_ball,30.4653,17.048,-3.0,0.45
12.75,fast_crossing_ball_1,10.0,-2.3,-3.0,0.55
12.75,fast_crossing_ball_2,16.0,11.225,-3.0,0.55
12.75,diagonal_crossing_ball,22.7127,-12.0602,-3.0,0.5
12.75,inner_patrol_ball,26.8799,4.0271,-3.0,0.45
12.75,target_patrol_ball,30.1014,17.1377,-3.0,0.45
13.0,fast_crossing_ball_1,10.0,-2.0,-3.0,0.55
13.0,fast_crossing_ball_2,16.0,10.9,-3.0,0.55
13.0,diagonal_crossing_ball,22.7775,-11.7929,-3.0,0.5
13.0,inner_patrol_ball,26.9646,4.4688,-3.0,0.45
13.0,target_patrol_ball,29.7516,17.2721,-3.0,0.45
13.25,fast_crossing_ball_1,10.0,-1.7,-3.0,0.55
13.25,fast_crossing_ball_2,16.0,10.575,-3.0,0.55
13.25,diagonal_crossing_ball,22.8423,-11.5256,-3.0,0.5
13.25,inner_patrol_ball,26.9991,4.9173,-3.0,0.45
13.25,target_patrol_ball,29.4212,17.449,-3.0,0.45
13.5,fast_crossing_ball_1,10.0,-1.4,-3.0,0.55
13.5,fast_crossing_ball_2,16.0,10.25,-3.0,0.55
13.5,diagonal_crossing_ball,22.9071,-11.2584,-3.0,0.5
13.5,inner_patrol_ball,26.9832,5.3667,-3.0,0.45
13.5,target_patrol_ball,29.1155,17.6658,-3.0,0.45
13.75,fast_crossing_ball_1,10.0,-1.1,-3.0,0.55
13.75,fast_crossing_ball_2,16.0,9.925,-3.0,0.55
13.75,diagonal_crossing_ball,22.9719,-10.9911,-3.0,0.5
13.75,inner_patrol_ball,26.9168,5.8116,-3.0,0.45
13.75,target_patrol_ball,28.8392,17.9189,-3.0,0.45
14.0,fast_crossing_ball_1,10.0,-0.8,-3.0,0.55
14.0,fast_crossing_ball_2,16.0,9.6,-3.0,0.55
14.0,diagonal_crossing_ball,23.0366,-10.7239,-3.0,0.5
