time,obstacle_id,x,y,z,radius
40.0,crossing_ball_right,17.0,-6.0,-3.0,0.5
40.0,center_patrol_ball,25.6265,9.6643,-3.0,0.45
40.5,crossing_ball_left,11.0,11.15,-3.0,0.5
40.5,crossing_ball_right,17.0,-5.5,-3.0,0.5
40.5,center_patrol_ball,25.1876,10.1763,-3.0,0.45
41.0,crossing_ball_left,11.0,10.7,-3.0,0.5
41.0,crossing_ball_right,17.0,-5.0,-3.0,0.5
41.0,center_patrol_ball,24.6771,10.617,-3.0,0.45
41.5,crossing_ball_left,11.0,10.25,-3.0,0.5
41.5,crossing_ball_right,17.0,-4.5,-3.0,0.5
41.5,center_patrol_ball,24.1066,10.9765,-3.0,0.45
42.0,crossing_ball_left,11.0,9.8,-3.0,0.5
42.0,crossing_ball_right,17.0,-4.0,-3.0,0.5
42.0,center_patrol_ball,23.4887,11.2466,-3.0,0.45
42.5,crossing_ball_left,11.0,9.35,-3.0,0.5
42.5,crossing_ball_right,17.0,-3.5,-3.0,0.5
42.5,center_patrol_ball,22.8373,11.4214,-3.0,0.45
43.0,crossing_ball_left,11.0,8.9,-3.0,0.5
43.0,crossing_ball_right,17.0,-3.0,-3.0,0.5
43.0,center_patrol_ball,22.1672,11.4969,-3.0,0.45
43.5,crossing_ball_left,11.0,8.45,-3.0,0.5
43.5,crossing_ball_right,17.0,-2.5,-3.0,0.5
43.5,center_patrol_ball,21.4933,11.4714,-3.0,0.45
44.0,crossing_ball_left,11.0,8.0,-3.0,0.5
44.0,crossing_ball_right,17.0,-2.0,-3.0,0.5
44.0,center_patrol_ball,20.8308,11.3455,-3.0,0.45
44.5,crossing_ball_left,11.0,7.55,-3.0,0.5
44.5,crossing_ball_right,17.0,-1.5,-3.0,0.5
44.5,center_patrol_ball,20.1946,11.1219,-3.0,0.45
45.0,crossing_ball_left,11.0,7.1,-3.0,0.5
45.0,crossing_ball_right,17.0,-1.0,-3.0,0.5
45.0,center_patrol_ball,19.5989,10.8059,-3.0,0.45
45.5,crossing_ball_left,11.0,6.65,-3.0,0.5
45.5,crossing_ball_right,17.0,-0.5,-3.0,0.5
45.5,center_patrol_ball,19.0571,10.4043,-3.0,0.45
46.0,crossing_ball_left,11.0,6.2,-3.0,0.5
46.0,crossing_ball_right,17.0,0.0,-3.0,0.5
46.0,center_patrol_ball,18.5814,9.9263,-3.0,0.45
46.5,crossing_ball_left,11.0,5.75,-3.0,0.5
46.5,crossing_ball_right,17.0,0.5,-3.0,0.5
46.5,center_patrol_ball,18.1825,9.3826,-3.0,0.45
47.0,crossing_ball_left,11.0,5.3,-3.0,0.5
47.0,crossing_ball_right,17.0,1.0,-3.0,0.5
47.0,center_patrol_ball,17.8693,8.7853,-3.0,0.45
47.5,crossing_ball_left,11.0,4.85,-3.0,0.5
47.5,crossing_ball_right,17.0,1.5,-3.0,0.5
47.5,center_patrol_ball,17.6489,8.148,-3.0,0.45
48.0,crossing_ball_left,11.0,4.4,-3.0,0.5
48.0,crossing_ball_right,17.0,2.0,-3.0,0.5
48.0,center_patrol_ball,17.5262,7.4849,-3.0,0.45
48.5,crossing_ball_left,11.0,3.95,-3.0,0.5
48.5,crossing_ball_right,17.0,2.5,-3.0,0.5
48.5,center_patrol_ball,17.504,6.8109,-3.0,0.45
49.0,crossing_ball_left,11.0,3.5,-3.0,0.5
49.0,crossing_ball_right,17.0,3.0,-3.0,0.5
49.0,center_patrol_ball,17.5827,6.1411,-3.0,0.45
49.5,crossing_ball_left,11.0,3.05,-3.0,0.5
49.5,crossing_ball_right,17.0,3.5,-3.0,0.5
49.5,center_patrol_ball,17.7607,5.4907,-3.0,0.45
50.0,crossing_ball_left,11.0,2.6,-3.0,0.5
50.0,crossing_ball_right,17.0,4.0,-3.0,0.5
50.0,center_patrol_ball,18.0338,4.8741,-3.0,0.45
50.5,crossing_ball_left,11.0,2.15,-3.0,0.5
50.5,crossing_ball_right,17.0,4.5,-3.0,0.5
50.5,center_patrol_ball,18.3961,4.3053,-3.0,0.45
51.0,crossing_ball_left,11.0,1.7,-3.0,0.5
51.0,crossing_ball_right,17.0,5.0,-3.0,0.5
51.0,center_patrol_ball,18.8392,3.797,-3.0,0.45
51.5,crossing_ball_left,11.0,1.25,-3.0,0.5
51.5,crossing_ball_right,17.0,5.5,-3.0,0.5
51.5,center_patrol_ball,19.3534,3.3606,-3.0,0.45
52.0,crossing_ball_left,11.0,0.8,-3.0,0.5
52.0,crossing_ball_right,17.0,6.0,-3.0,0.5
52.0,center_patrol_ball,19.9269,3.0059,-3.0,0.45
52.5,crossing_ball_left,11.0,0.35,-3.0,0.5
52.5,crossing_ball_right,17.0,6.5,-3.0,0.5
52.5,center_patrol_ball,20.5471,2.741,-3.0,0.45
53.0,crossing_ball_left,11.0,-0.1,-3.0,0.5
53.0,crossing_ball_right,17.0,7.0,-3.0,0.5
53.0,center_patrol_ball,21.1999,2.5717,-3.0,0.45
53.5,crossing_ball_left,11.0,-0.55,-3.0,0.5
53.5,crossing_ball_right,17.0,7.5,-3.0,0.5
53.5,center_patrol_ball,21.8706,2.5019,-3.0,0.45
54.0,crossing_ball_left,11.0,-1.0,-3.0,0.5
54.0,crossing_ball_right,17.0,8.0,-3.0,0.5
54.0,center_patrol_ball,22.5442,2.533,-3.0,0.45
54.5,crossing_ball_left,11.0,-1.45,-3.0,0.5
54.5,crossing_ball_right,17.0,8.5,-3.0,0.5
54.5,center_patrol_ball,23.2057,2.6645,-3.0,0.45
55.0,crossing_ball_left,11.0,-1.9,-3.0,0.5
55.0,crossing_ball_right,17.0,9.0,-3.0,0.5
55.0,center_patrol_ball,23.84,2.8934,-3.0,0.45
55.5,crossing_ball_left,11.0,-2.35,-3.0,0.5
55.5,crossing_ball_right,17.0,9.5,-3.0,0.5
55.5,center_patrol_ball,24.433,3.2145,-3.0,0.45
56.0,crossing_ball_left,11.0,-2.8,-3.0,0.5
56.0,crossing_ball_right,17.0,10.0,-3.0,0.5
56.0,center_patrol_ball,24.9714,3.6206,-3.0,0.45
56.5,crossing_ball_left,11.0,-3.25,-3.0,0.5
56.5,crossing_ball_right,17.0,10.5,-3.0,0.5
56.5,center_patrol_ball,25.4431,4.1025,-3.0,0.45
57.0,crossing_ball_left,11.0,-3.7,-3.0,0.5
57.0,crossing_ball_right,17.0,11.0,-3.0,0.5
57.0,center_patrol_ball,25.8374,4.6496,-3.0,0.45
57.5,crossing_ball_left,11.0,-4.15,-3.0,0.5
57.5,crossing_ball_right,17.0,11.5,-3.0,0.5
57.5,center_patrol_ball,26.1456,5.2495,-3.0,0.45
58.0,crossing_ball_left,11.0,-4.6,-3.0,0.5
58.0,crossing_ball_right,17.0,12.0,-3.0,0.5
58.0,center_patrol_ball,26.3606,5.8886,-3.0,0.45
58.5,crossing_ball_left,11.0,-5.05,-3.0,0.5
58.5,crossing_ball_right,17.0,12.5,-3.0,0.5
58.5,center_patrol_ball,26.4777,6.5527,-3.0,0.45
59.0,crossing_ball_left,11.0,-5.5,-3.0,0.5
59.0,crossing_ball_right,17.0,13.0,-3.0,0.5
59.0,center_patrol_ball,26.4943,7.2269,-3.0,0.45
59.5,crossing_ball_left,11.0,-5.95,-3.0,0.5
59.5,crossing_ball_right,17.0,13.5,-3.0,0.5
59.5,center_patrol_ball,26.4099,7.896,-3.0,0.45
60.0,crossing_ball_left,11.0,-6.4,-3.0,0.5
60.0,crossing_ball_right,17.0,14.0,-3.0,0.5
60.0,center_patrol_ball,26.2265,8.5449,-3.0,0.45
60.5,crossing_ball_left,11.0,-6.85,-3.0,0.5
60.5,crossing_ball_right,17.0,14.5,-3.0,0.5
60.5,center_patrol_ball,25.9482,9.1592,-3.0,0.45
61.0,crossing_ball_left,11.0,-7.3,-3.0,0.5
61.0,crossing_ball_right,17.0,15.0,-3.0,0.5
61.0,center_patrol_ball,25.5812,9.7249,-3.0,0.45
61.5,crossing_ball_left,11.0,-7.75,-3.0,0.5
61.5,crossing_ball_right,17.0,15.5,-3.0,0.5
61.5,center_patrol_ball,25.1337,10.2295,-3.0,0.45
62.0,crossing_ball_left,11.0,-8.2,-3.0,0.5
62.0,crossing_ball_right,17.0,16.0,-3.0,0.5
62.0,center_patrol_ball,24.6159,10.6615,-3.0,0.45
62.5,crossing_ball_left,11.0,-8.65,-3.0,0.5
62.5,crossing_ball_right,17.0,16.5,-3.0,0.5
62.5,center_patrol_ball,24.0394,11.0113,-3.0,0.45
63.0,crossing_ball_left,11.0,-9.1,-3.0,0.5
63.0,crossing_ball_right,17.0,17.0,-3.0,0.5
63.0,center_patrol_ball,23.4171,11.2711,-3.0,0.45
63.5,crossing_ball_left,11.0,-9.55,-3.0,0.5
63.5,crossing_ball_right,17.0,17.5,-3.0,0.5
63.5,center_patrol_ball,22.7629,11.4349,-3.0,0.45
64.0,crossing_ball_left,11.0,-10.0,-3.0,0.5
64.0,crossing_ball_right,17.0,18.0,-3.0,0.5
64.0,center_patrol_ball,22.0916,11.4991,-3.0,0.45
64.5,crossing_ball_left,11.0,-10.45,-3.0,0.5
64.5,crossing_ball_right,17.0,17.5,-3.0,0.5
64.5,center_patrol_ball,21.4182,11.4622,-3.0,0.45
65.0,crossing_ball_left,11.0,-10.9,-3.0,0.5
65.0,crossing_ball_right,17.0,17.0,-3.0,0.5
65.0,center_patrol_ball,20.7579,11.3252,-3.0,0.45
